"","Trait","No. Inds/% phenotyped","No. QTLs","QTL's LG","Len of LG","Len of QTL","pos","lod","Flanking markers","Central marker","Pval"
"1","AFF","149 ind / 100%","","LG13",56.3,18,0.4,2.8,"LG13_m152483-LG13_m116284","LG13_m95830","0.239*"
"2","AFF","149 ind / 100%","","LG14",58.7,57.2,12,2.6,"LG14_m187879-LG14_m3973","LG14_m232116","0.351*"
"3","AFF","149 ind / 100%","","LG16",41.1,41.1,32.9,1.9,"LG16_m98366-LG16_m1644","LG16_m256179","0.849"
"4","AFF","149 ind / 100%","","LG19",114.3,82,34.2,2.5,"LG19_m248944-LG19_m3026","LG19_m164757","0.441*"
"5","AFF","149 ind / 100%","","LG20",60.7,26,18,2.9,"LG20_m66136-LG20_m233715","LG20_m99144","0.221*"
"6","AFF","149 ind / 100%","","LG22",77.1,77.1,77.1,1.8,"LG22_m172088-LG22_m55365","LG22_m55365","0.904"
"7","AFF","149 ind / 100%","","LG24",49.3,22,31.7,3.1,"LG24_m115022-LG24_m158249","LG24_m115022","0.154*"
"8","AFF","149 ind / 100%","","LG14",58.7,44.7,47.4,1.6,"LG14_m232116-LG14_m2633","LG14_m190700","0.949"
"9","AFS","149 ind / 100%","","LG13",56.3,44.6,0,2.3,"LG13_m152483-LG13_m239247","LG13_m152483","0.601*"
"10","AFS","149 ind / 100%","","LG14",58.7,52.4,12,2.7,"LG14_m187879-LG14_m140735","LG14_m232116","0.323*"
"11","AFS","149 ind / 100%","","LG17",45.9,34,0.7,1.7,"LG17_m66485-LG17_m154168","LG17_m26429","0.93"
"12","AFS","149 ind / 100%","","LG19",114.3,82,34.2,2.5,"LG19_m248944-LG19_m3026","LG19_m164757","0.441*"
"13","AFS","149 ind / 100%","","LG20",60.7,26,24,3.1,"LG20_m66136-LG20_m233715","LG20_m249499","0.151*"
"14","AFS","149 ind / 100%","","LG22",77.1,77.1,77.1,1.7,"LG22_m172088-LG22_m55365","LG22_m55365","0.939"
"15","AFS","149 ind / 100%","","LG24",49.3,22,31.7,3.3,"LG24_m115022-LG24_m158249","LG24_m115022","0.103*"
"16","AFS","149 ind / 100%","","LG26",86.3,86.3,0,2,"LG26_m228710-LG26_m99216","LG26_m228710","0.813"
"17","AFL","149 ind / 100%","","LG13",56.3,16,0.4,2.8,"LG13_m152483-LG13_m116284","LG13_m95830","0.261*"
"18","AFL","149 ind / 100%","","LG14",58.7,18,2,2.8,"LG14_m187879-LG14_m99155","LG14_m187879","0.275*"
"19","AFL","149 ind / 100%","","LG16",41.1,15.1,32.9,2.3,"LG16_m256633-LG16_m1644","LG16_m256179","0.587*"
"20","AFL","149 ind / 100%","","LG19",114.3,80.8,36,2.5,"LG19_m255575-LG19_m38508","LG19_m164757","0.438*"
"21","AFL","149 ind / 100%","","LG20",60.7,26,24,2.7,"LG20_m66136-LG20_m233715","LG20_m249499","0.304*"
"22","AFL","149 ind / 100%","","LG24",49.3,22,31.7,2.8,"LG24_m115022-LG24_m158249","LG24_m115022","0.261*"
"23","AG","149 ind / 100%","","LG2",34.4,22.4,31.4,2,"LG2_m27444-LG2_m221845","LG2_m23665","0.791"
"24","AG","149 ind / 100%","","LG13",56.3,40,0.4,2.3,"LG13_m152483-LG13_m178709","LG13_m95830","0.604*"
"25","AG","149 ind / 100%","","LG14",58.7,58,4,1.9,"LG14_m187879-LG14_m2633","LG14_m33308","0.843"
"26","AG","149 ind / 100%","","LG16",41.1,41.1,32.9,2.2,"LG16_m98366-LG16_m1644","LG16_m256179","0.671"
"27","AG","149 ind / 100%","","LG19",114.3,48,15.9,2.5,"LG19_m195831-LG19_m176482","LG19_m62803","0.445*"
"28","AG","149 ind / 100%","","LG20",60.7,26,24,2.4,"LG20_m66136-LG20_m233715","LG20_m249499","0.475*"
"29","AYS","149 ind / 100%","","LG13",56.3,44.6,0.4,2.1,"LG13_m152483-LG13_m239247","LG13_m95830","0.753"
"30","AYS","149 ind / 100%","","LG16",41.1,41.1,34,1.9,"LG16_m98366-LG16_m1644","LG16_m85999","0.84"
"31","AYS","149 ind / 100%","","LG19",114.3,80,40,2.4,"LG19_m222416-LG19_m38508","LG19_m164757","0.538*"
"32","AYL","149 ind / 100%","","LG13",56.3,56.3,0.4,1.8,"LG13_m152483-LG13_m131941","LG13_m95830","0.918"
"33","AYL","149 ind / 100%","","LG14",58.7,57.2,12.8,2.1,"LG14_m187879-LG14_m3973","LG14_m232116","0.701"
"34","AYL","149 ind / 100%","","LG16",41.1,17.1,34.6,1.9,"LG16_m256633-LG16_m1644","LG16_m85999","0.847"
"35","AYL","149 ind / 100%","","LG19",114.3,88,38,2.3,"LG19_m195831-LG19_m38508","LG19_m164757","0.549*"
"36","FOB1","117 ind / 78.5%","","LG4",64,28,2,2.1,"LG4_m158167-LG4_m179103","LG4_m158167","0.703"
"37","FOB1","117 ind / 78.5%","","LG25",47.8,34,7.9,1.9,"LG25_m148704-LG25_m118219","LG25_m42909","0.865"
"38","FOB2","118 ind / 79.2%","","LG19",114.3,94,15.9,1.9,"LG19_m234493-LG19_m3026","LG19_m62803","0.856"
"39","FOB2","118 ind / 79.2%","","LG25",47.8,40,6.6,2.7,"LG25_m148704-LG25_m196841","LG25_m26868","0.337*"
"40","FOB3","118 ind / 79.2%","","LG6",36.1,24.1,26,2.4,"LG6_m249118-LG6_m34544","LG6_m51714","0.546*"
"41","FOB3","118 ind / 79.2%","","LG13",56.3,40.3,38.6,2,"LG13_m116284-LG13_m131941","LG13_m129765","0.821"
"42","FOB3","118 ind / 79.2%","","LG17",45.9,20,15.5,2.6,"LG17_m26429-LG17_m186932","LG17_m181813","0.389*"
"43","FOB3","118 ind / 79.2%","","LG22",77.1,65.1,56,1.7,"LG22_m204703-LG22_m55365","LG22_m3697","0.924"
"44","FOB3","118 ind / 79.2%","","LG25",47.8,32,6.6,3.7,"LG25_m148704-LG25_m198798","LG25_m26868","0.056**"
"45","F_AUDPC","118 ind / 79.2%","","LG19",114.3,108.9,15.9,1.6,"LG19_m101183-LG19_m257837","LG19_m62803","0.942"
"46","F_AUDPC","118 ind / 79.2%","","LG25",47.8,32,6.6,3.1,"LG25_m148704-LG25_m198798","LG25_m26868","0.149*"
"47","Cold","149 ind / 100%","","LG9",52.6,48.6,52.6,1.7,"LG9_m207796-LG9_m61458","LG9_m61458","0.927"
"48","FOB3_bin","118 ind / 79.2%","","LG6",36.1,22,27,2.5,"LG6_m102306-LG6_m34544","LG6_m51714","0.433*"
"49","FOB3_bin","118 ind / 79.2%","","LG9",52.6,39,51,1.7,"LG9_m74935-LG9_m61458","LG9_m235200","0.943"
"50","FOB3_bin","118 ind / 79.2%","","LG13",56.3,56.3,38.6,2.1,"LG13_m152483-LG13_m131941","LG13_m129765","0.733"
"51","FOB3_bin","118 ind / 79.2%","","LG17",45.9,27,15.5,1.9,"LG17_m66485-LG17_m186932","LG17_m181813","0.88"
"52","FOB3_bin","118 ind / 79.2%","","LG20",60.7,60.7,3,1.9,"LG20_m213579-LG20_m112128","LG20_m66136","0.865"
"53","FOB3_bin","118 ind / 79.2%","","LG22",77.1,54,57,1.8,"LG22_m102393-LG22_m213924","LG22_m159568","0.932"
"54","FOB3_bin","118 ind / 79.2%","","LG25",47.8,15.9,6.6,4.6,"LG25_m185939-LG25_m152494","LG25_m26868","0.014***"
"55","FOB3_bin","118 ind / 79.2%","","LG25",47.8,22.8,21,3,"LG25_m148704-LG25_m108773","LG25_m121157","0.182*"
"56","BDM","149 ind / 100%","","LG6",36.1,26,27,3.2,"LG6_m201323-LG6_m34544","LG6_m51714","0.13*"
"57","BDM","149 ind / 100%","","LG13",56.3,41.3,43.9,1.8,"LG13_m116284-LG13_m131941","LG13_m32070","0.927"
"58","BDM","149 ind / 100%","","LG19",114.3,108,8.4,2.7,"LG19_m195831-LG19_m251298","LG19_m234493","0.316*"
"59","BDM","149 ind / 100%","","LG25",47.8,23.5,13.7,2.1,"LG25_m148704-LG25_m83002","LG25_m211602","0.757"
"60","BDM","149 ind / 100%","","LG6",36.1,13.9,10.1,2.4,"LG6_m162041-LG6_m51714","LG6_m201323","0.499*"
