"","n.mar","length","ave.spacing","max.spacing"
"LG1",66,58.7208139148689,0.903397137151829,12.7527451030492
"LG2",29,52.586876951707,1.87810274827525,17.0022057634461
"LG3",18,43.8584616942136,2.57990951142433,8.88427906973125
"LG4",16,56.5854397485512,3.77236264990341,25.6247339515024
"LG5",2,1.88008019969504,1.88008019969504,1.88008019969504
"LG6",67,56.5284997038215,0.856492419754871,9.85729518775101
"LG7",34,58.6364838430616,1.77686314675944,10.7674433397222
"LG8",47,20.75515550507,0.451199032718914,4.48765066288258
"LG9",12,41.084784870958,3.73498044281436,18.5258810605532
"LG10",19,46.5985508274076,2.58880837930042,10.4134945788165
"LG11",13,34.4110069841354,2.86758391534462,14.6288274346075
"LG12",10,15.6837290768095,1.74263656408994,8.49959088656809
"LG13",53,115.446902036809,2.22013273147709,23.1689559757096
"LG14",44,60.723740525537,1.41218001222179,14.4132377594371
"LG15",19,40.8829985936514,2.2712776996473,19.6474690139998
"LG16",27,77.0658332714555,2.9640705104406,14.7342415522726
"LG17",8,14.8540863086772,2.12201232981103,4.10314562210195
"LG18",11,49.318377823299,4.9318377823299,26.8791844497603
"LG19",70,47.8354116224124,0.693266835107426,6.47897358172146
"LG20",11,86.2776319738731,8.62776319738731,28.7990653159762
"LG21",24,21.9079198085817,0.95251825254703,4.71188555920833
"LG22",33,65.0963956806729,2.03426236502103,11.5430727689565
"LG23",22,29.908424659088,1.42421069805181,6.27433846388576
"LG24",23,36.1409051292105,1.64276841496411,15.218245968684
"LG25",20,33.8010521661992,1.77900274558943,21.8516543960125
"LG26",26,48.9061959970549,1.95624783988219,11.1646712207293
"overall",724,1215.49575891682,1.74139793541092,28.7990653159762
